Mã KH,LSX,PI,Mô tả Sản Phẩm,LOẠI ĐÁ,Kích thước ,L,L2,W,W2,H,H2,CÁCH GIA CÔNG,KHU VỰC,ỨNG DỤNG,Đơn giá,usd_pc,usd_m2,usd_m3,usd_ton,Pcs
,,,,,,,0.0,,0.0,,0.0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
X21.2,040225 (12/A-X21.2/24),12/A-X21.2/25,"BAZAN XÁM, Đá tường rào-Chẻ tay tự nhiên",BAZAN XÁM ,402020,40,0.0,20.0,0.0,20.0,0.0,CHẺ TAY TỰ NHIÊN ,2.0,WALL_STONE,"5,60 usd/pc",5.6,70,350,132.0754717,360.0
X12,120225 (01/A-X12/25),01/A-X12/25,"BAZAN XÁM, Cubic-Chẻ tay tự nhiên",BAZAN XÁM ,10108,10,0.0,10.0,0.0,8.0,0.0,CHẺ TAY TỰ NHIÊN ,1.0,CUBE,"26,00 usd/m2",0.26,26,325,136.2683438,29400.0
X12,120225 (01/A-X12/25),01/A-X12/25,"BAZAN XÁM, Cubic-Chẻ tay tự nhiên",BAZAN XÁM ,20108,20,0.0,10.0,0.0,8.0,0.0,CHẺ TAY TỰ NHIÊN ,1.0,CUBE,"26,00 usd/m2",0.52,26,325,136.2683438,20000.0
X09,030125 (01-X09-25),01-X09-25 (PO 8018392),"BAZAN XÁM, Đá cây-6 mặt cưa lột tay tự nhiên, không có vết cưa, hạn chế tối đa vết nêm",BAZAN XÁM ,1003010,100,0.0,30.0,0.0,10.0,0.0,CƯA LỘT TAY,0.0,PALISADE,"17,66 usd/pc",17.66,58.86666667,588.6666667,222.1383648,336.0
X23.1,010125 (Price list 2025),Price list 2025,"BAZAN XÁM, Đá cây- các cạnh cưa",BAZAN XÁM ,1501212,150,0.0,12.0,0.0,12.0,0.0,CƯA,2.0,PALISADE,"12,55 usd/pc",12.55,69.72222222,581.0185185,219.2522711,
X23.1,010125 (Price list 2025),Price list 2025,"BAZAN XÁM, Đá cây- các cạnh cưa",BAZAN XÁM ,1001212,100,0.0,12.0,0.0,12.0,0.0,CƯA,2.0,PALISADE,"7,99 usd/pc",7.99,66.58333333,554.8611111,209.3815514,
X23.1,010125 (Price list 2025),Price list 2025,"BAZAN XÁM, Đá cây- các cạnh cưa",BAZAN XÁM ,751212,75,0.0,12.0,0.0,12.0,0.0,CƯA,2.0,PALISADE,"5,69 usd/pc",5.69,63.22222222,526.8518519,198.8120196,
X23.1,010125 (Price list 2025),Price list 2025,"BAZAN XÁM, Đá cây- các cạnh cưa",BAZAN XÁM ,501212,50,0.0,12.0,0.0,12.0,0.0,CƯA,2.0,PALISADE,"3,61 usd/pc",3.61,60.16666667,501.3888889,189.2033543,
X23.1,010125 (Price list 2025),Price list 2025,"BAZAN XÁM, Đá cây- các cạnh cưa",BAZAN XÁM ,351212,35,0.0,12.0,0.0,12.0,0.0,CƯA,2.0,PALISADE,"2,33 usd/pc",2.33,55.47619048,462.3015873,174.4534292,
X23.1,010125 (Price list 2025),Price list 2025,"BAZAN XÁM, Đá cây- các cạnh cưa",BAZAN XÁM ,100208,100,0.0,20.0,0.0,8.0,0.0,CƯA,2.0,PALISADE,"8,80 usd/pc",8.8,44,550,207.5471698,
X23.1,010125 (Price list 2025),Price list 2025,"BAZAN XÁM, Đá tường rào- Các cạnh chẻ tay tự nhiên ",BAZAN XÁM ,401815,40,0.0,18.0,0.0,15.0,0.0,CHẺ TAY TỰ NHIÊN,2.0,WALL_STONE,"4,32 usd/pc",4.32,60,400,150.9433962,
X23.1,010125 (Price list 2025),Price list 2025,"BAZAN XÁM, Đá cubic- chẻ tay tự nhiên ",BAZAN XÁM ,20109,20,0.0,10.0,0.0,9.0,0.0,CHẺ TAY TỰ NHIÊN,2.0,CUBE,"0,63 usd/pc",0.63,31.5,350,155.3829079,
X23.1,010125 (Price list 2025),Price list 2025,"BAZAN XÁM, Đá cubic- chẻ tay tự nhiên ",BAZAN XÁM ,15159,15,0.0,15.0,0.0,9.0,0.0,CHẺ TAY TỰ NHIÊN,2.0,CUBE,"0,71 usd/pc",0.71,31.55555556,350.617284,155.6569518,
X23.1,010125 (Price list 2025),Price list 2025,"BAZAN XÁM, Đá cubic- chẻ tay tự nhiên ",BAZAN XÁM ,997,9,0.0,9.0,0.0,7.0,0.0,CHẺ TAY TỰ NHIÊN,2.0,CUBE,"0,22 usd/pc",0.22,27.16049383,388.0070547,131.5278151,
